,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
0,A.O. Smith Corp.,AOS,NYSE,40.49,47.13,-6.64,16.26,355,14.4,45.49,-14.09%,297,5.51
1,Abbott Laboratories,ABT,NYSE,78.62,85.76,-7.14,21.9,"6,422",24.82,53.89,-8.33%,"7,144",4.81
2,AbbVie Inc,ABBV,NYSE,88.2,88.21,-0.01,8.6,"22,106",-0.21,109.17,-0.01%,"24,245",5.13
3,Accenture plc,ACN,NYSE,177.45,208.09,-30.64,21.4,"6,039",24.81,50.23,-14.72%,"6,703",5.36
4,Activision Blizzard Inc.,ATVI,NAS,59.65,58.47,1.18,23.84,"1,962",18.07,35.47,2.02%,"2,201",4.97
5,Adobe Inc.,ADBE,NAS,340.45,328.29,12.16,32.16,"5,197",33.74,50.35,3.7%,"6,112",4.08
6,Advance Auto Parts Inc.,AAP,NYSE,123.81,157.74,-33.93,16.16,687,56.26,68.45,-21.51%,726,4.37
7,AES Corp.,AES,NYSE,16.09,19.75,-3.66,11.06,974,6.01,81.82,-18.53%,"1,082",6.1
8,Agilent Technologies Inc.,A,NYSE,77.95,84,-6.05,20.37,752,16.74,49.77,-7.2%,"1,110",6.19
9,Air Products and Chemicals Inc.,APD,NYSE,226.19,225.15,1.04,22.67,-381,56.55,39.88,0.46%,556,3.04
10,Akamai Inc.,AKAM,NAS,89.78,86.65,3.13,18.35,714,25.36,47.79,3.61%,808,4.87
11,Alaska Air Group Inc.,ALK,NYSE,41.51,66.09,-24.58,9.54,800,39.82,69.07,-37.19%,"1,006",6.45
12,Albemarle Corp.,ALB,NYSE,82.36,71,11.36,13.92,-211,40.72,58.49,16.0%,50,3.08
13,Alcoa Corp,AA,NYSE,11.3,21.37,-10.07,12.15,325,24.6,59.77,-47.12%,613,7.45
14,Alexion Pharmaceuticals Inc.,ALXN,NAS,91.02,105.65,-14.63,7.56,"2,294",58.3,35.75,-13.85%,"2,733",6.63
15,Align Technology Inc.,ALGN,NAS,219.77,276.68,-56.91,32.23,480,21.83,46.17,-20.57%,679,6.25
